Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
04-Dec-2024,2528,2530.05,2470.1,2494.75,2344949
03-Dec-2024,2464,2558,2462.05,2514.2,4070042
02-Dec-2024,2491.35,2508,2426.6,2457.05,3807565
29-Nov-2024,2464.05,2520,2400,2463.15,8191680
28-Nov-2024,2440,2526.3,2400,2437.1,14445549
27-Nov-2024,2180,2418,2142.15,2397.8,17502156
26-Nov-2024,2265.6,2292.85,2136,2150.5,7723187
25-Nov-2024,2315,2333.65,2238,2257.5,7466733
22-Nov-2024,2101,2289.7,2025,2228,20939196
21-Nov-2024,2539.35,2539.35,2155.05,2183.65,21796668
19-Nov-2024,2831,2894.8,2809.8,2821.5,536296
18-Nov-2024,2826.8,2858.65,2793.3,2818.7,489692
14-Nov-2024,2824,2844.8,2801,2826.8,646797
13-Nov-2024,2860,2889,2808,2816.7,890146
12-Nov-2024,2910,2930.45,2855,2870,597231
11-Nov-2024,2928,2946.8,2888,2903.65,584144
08-Nov-2024,2965.1,2995,2911.25,2929.1,835641
07-Nov-2024,3045,3045,2943.05,2970.1,1285585
06-Nov-2024,2918,3070,2918,3046.25,1676755
05-Nov-2024,2897.4,2924,2870,2915.55,752303
04-Nov-2024,2935,2943,2857.75,2897.4,1059384
01-Nov-2024,2960,2975.6,2928.4,2949.5,304673
31-Oct-2024,2967.9,2976.5,2933.85,2947.25,1156390
30-Oct-2024,2864,2997.15,2815.05,2969.3,2884272
29-Oct-2024,2803,2863.05,2732.85,2848.6,1529844
28-Oct-2024,2701.1,2822.4,2672.1,2798.65,1385033
25-Oct-2024,2845,2847,2654.7,2693.45,1954174
24-Oct-2024,2841.05,2875.15,2807.9,2830.2,942066
23-Oct-2024,2840.85,2879,2820.1,2835.55,1270530
22-Oct-2024,2938,2955,2818,2823.8,1209732
21-Oct-2024,3005.15,3014.95,2916.95,2937.65,1051690
18-Oct-2024,2990,3031.7,2968.1,3002,796339
17-Oct-2024,3089.95,3100,2993,3013.75,2655289
16-Oct-2024,3098,3115.4,3061,3085.9,543476
15-Oct-2024,3124,3128,3091.5,3104.7,371613
14-Oct-2024,3145,3150.1,3092.85,3101.1,437728
11-Oct-2024,3174.2,3190,3116,3137.2,1035260
10-Oct-2024,3140,3211,3056.1,3174.2,2905725
09-Oct-2024,3175,3179.95,3134.4,3153.75,897335
08-Oct-2024,3018.5,3170,2994.85,3160.7,1776511
07-Oct-2024,3110.65,3128.5,2980.45,3018,1743454
04-Oct-2024,3119.9,3149.5,3070,3110.65,987583
03-Oct-2024,3150,3196.35,3084.1,3116,1309703
01-Oct-2024,3136.3,3192,3107,3186.1,1367116
30-Sep-2024,3129,3209.9,3120.4,3135.85,1607429
27-Sep-2024,3122,3179,3116,3130.3,2297441
26-Sep-2024,3085,3148,3085,3122.65,1548019
25-Sep-2024,3108,3123.9,3080.2,3105.1,913008
24-Sep-2024,3055,3101,3040.25,3093.9,1021918
23-Sep-2024,3020,3070,3015.25,3043.95,897314
20-Sep-2024,2948.15,3025,2942.05,3008.5,1787210
19-Sep-2024,2975.05,2975.25,2890.35,2943.15,1655401
18-Sep-2024,2976,2984.75,2935,2956.3,831891
17-Sep-2024,2990.05,2995.9,2952.5,2975.2,698700
16-Sep-2024,2972,3026.4,2972,2984.9,695162
13-Sep-2024,2972,3001.95,2956.05,2968.35,815948
12-Sep-2024,2950,3000,2917.15,2991,1314173
11-Sep-2024,2985,2992.95,2928,2937.85,888628
10-Sep-2024,2971.6,3007.4,2947.6,2986.4,803782
09-Sep-2024,2972.1,2972.5,2927.3,2964.15,1523581
06-Sep-2024,3019,3025,2968,2975.45,1251165
05-Sep-2024,3025,3037.9,3002,3015.35,734273
04-Sep-2024,3010,3025,2955.2,3012.35,1212270
03-Sep-2024,3037,3053.05,3023.8,3036.1,1371577
02-Sep-2024,3021.1,3059.15,2997.6,3042.15,1842658
30-Aug-2024,3030,3038.55,3003.3,3019.35,3509174
29-Aug-2024,3030,3041.95,2981.3,3020.15,1853966
28-Aug-2024,3078,3078,3022.1,3028,1569652
27-Aug-2024,3072.2,3095.75,3064,3067.1,1310440
26-Aug-2024,3088,3090,3055,3069,1632446
23-Aug-2024,3101,3123,3067.6,3076.35,1375224
22-Aug-2024,3130.75,3150,3091,3099.05,1378912
21-Aug-2024,3070.65,3153.3,3068.4,3115.7,1379240
20-Aug-2024,3118.95,3126,3058.85,3070.65,662263
19-Aug-2024,3122.05,3134.3,3092.95,3102.55,557265
16-Aug-2024,3070,3121.6,3039.35,3108.8,970067
14-Aug-2024,3085.7,3085.7,3027.75,3040.1,1232383
13-Aug-2024,3170.05,3178.1,3081.75,3092.2,2192588
12-Aug-2024,3100,3169.85,3014,3151.75,10307245
09-Aug-2024,3209,3219.3,3171.05,3187.55,760165
08-Aug-2024,3190.55,3242.65,3156.55,3167.55,2139376
07-Aug-2024,3118,3190,3112,3185.95,1868169
06-Aug-2024,3084,3142.8,3057.25,3072.7,2125201
05-Aug-2024,3085,3133.05,2996.3,3038.2,2238921
02-Aug-2024,3200,3215,3111,3160.9,3360209
01-Aug-2024,3180,3258,3151.7,3217.25,6149883
31-Jul-2024,3141,3197.5,3135,3169.4,2414005
30-Jul-2024,3092,3155,3066.65,3128.75,1647048
29-Jul-2024,3094.3,3120.35,3074,3089.35,1037474
26-Jul-2024,2995,3109,2988.1,3080.5,1942427
25-Jul-2024,2960.7,3017.65,2945.1,2973.5,1105721
24-Jul-2024,2995.35,3007.5,2959.3,2970.7,693702
23-Jul-2024,3020,3038,2886.35,2995.35,1443331
22-Jul-2024,3005.7,3026.9,2972.15,3000.85,662085
19-Jul-2024,3092,3094.5,3000,3005.7,1026941
18-Jul-2024,3106,3111,3057.15,3092.2,1021653
16-Jul-2024,3110,3137.75,3096.1,3109.3,988357
15-Jul-2024,3066.1,3103.5,3058.35,3090.4,724174
12-Jul-2024,3090,3098.8,3058.35,3065.45,756036
11-Jul-2024,3118.7,3129.8,3074.1,3078.3,899781
10-Jul-2024,3120.1,3127.25,3063.4,3096,586710
