Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
05-Dec-2024,1314.35,1329.95,1306.15,1322.05,16858723
04-Dec-2024,1326,1328.4,1304.05,1308.95,19608540
03-Dec-2024,1317,1326.8,1307,1323.3,16869482
02-Dec-2024,1288,1311.35,1277.05,1309.15,11024152
29-Nov-2024,1280,1299.5,1275.25,1292.2,13202307
28-Nov-2024,1289.95,1296.6,1269.05,1270.8,15027412
27-Nov-2024,1293.5,1303.85,1286,1293.2,9572746
26-Nov-2024,1294.95,1297.85,1284.2,1295.7,9247557
25-Nov-2024,1290,1304.45,1282.45,1287,28923341
22-Nov-2024,1229.4,1268.85,1222.45,1265.4,20471957
21-Nov-2024,1241.65,1243.95,1217.25,1223,19433843
19-Nov-2024,1260.75,1281.5,1235.15,1241.65,14183746
18-Nov-2024,1267.6,1272.9,1243.9,1260.75,13620611
14-Nov-2024,1253.6,1272.6,1251.1,1267.6,12612633
13-Nov-2024,1270.25,1275.45,1249.5,1252.05,14633633
12-Nov-2024,1275.55,1289.3,1267.5,1274.25,10671091
11-Nov-2024,1278.95,1286,1267,1272.7,9056552
08-Nov-2024,1297.65,1301.65,1275,1283.75,19814406
07-Nov-2024,1324,1324,1302.6,1305.65,9611974
06-Nov-2024,1310,1328.3,1300.2,1325.35,21625209
05-Nov-2024,1293,1309.55,1286.15,1305.3,16267479
